--答题题目配置
QuestionClass= 
{  
   --(qt表示问题，ra表示正确答案，wa表示错误答案)
qt0001="博士作为官名最早出现在哪个朝代？",ra0001="秦",wa0001="唐",
qt0163="著名书籍《物种起源》一书是谁所著？",ra0163=" 达尔文",wa0163="哥白尼",
qt0164="下列古书中哪部不属于”四书”之一？",ra0164="《春秋》",wa0164="《大学》",
qt0165="我国第一部纪传体通史是以下哪一部书？",ra0165="《史记》",wa0165="《春秋》",
qt0166="我国最早的一部医学理论著作是以下哪一部？",ra0166="《黄帝内经》",wa0166="《本草纲目》",
qt0167="我国植树节定在每年的3月12日,这也是为纪念哪位人物而定的？",ra0167="孙中山",wa0167="白求恩",
qt0168="世界三大人种中哪一种就是黑色人物？",ra0168="尼格罗人种",wa0168="欧罗巴人种",
qt0169="下列哪一种不属于中华民族的三大印记之一？",ra0169="黄皮肤",wa0169="青斑",
qt0170="我国姓氏中哪一个姓氏的人口比例最多？",ra0170="李",wa0170="张",
qt0171="下列国家中哪一个人们的姓名排名次序是先名后姓？",ra0171="英国",wa0171="柬埔寨",
qt0172="古人对”幼年的儿童”的代称是什么？",ra0172="总角",wa0172="束发",
qt0173="古人对”六十岁”年龄的人的称呼是什么？",ra0173="花甲",wa0173="知天命",
qt0174="根椐《百家姓》,我国的复姓共有多少个？",ra0174="76个",wa0174="86个",
qt0175="按平均每分钟说话的音节算哪个国家的人说话最快？",ra0175="法国",wa0175="德国",
qt0176="我国法律上规定年满多少周岁就有选举权和被选举权？",ra0176="十八周岁",wa0176="十六周岁",
qt0177="我国士兵预备役的年龄范围：",ra0177="18-35周岁",wa0177="18-30周岁",
qt0178="我国婚姻法规定女性结婚年龄不得早于多少周岁？",ra0178="20周岁",wa0178="22周岁",
qt0179="我国要被选为国家主席、副主席年龄要在多少周岁以上？",ra0179="45周岁",wa0179="40周岁",
qt0180="下列数字中哪一个是西方人最忌讳的？",ra0180="1900年1月13日",wa0180="1900年1月4日",
qt0181="下列少数民族中哪个民族不忌吃猪肉？",ra0181="满族",wa0181="回族",
qt0182="中国古代“双手抱拳举过头顶，鞠躬”，这是什么拜礼？",ra0182="长揖",wa0182="稽首",
qt0183="供给人的机体热能的最主要营养物质是以下哪种？",ra0183="糖",wa0183="蛋白质",
qt0184="下列哪个国家很忌用人物肖像作商标？",ra0184="英国",wa0184="美国",
qt0185="“念慈”是古代对对方亲属中哪一位的尊称？",ra0185="母亲",wa0185="伯母",
qt0186="“下半旗致哀”的由来是源于什么人物的去世？",ra0186="船长",wa0186="族长",
qt0187="下列哪个国家一般不准女性在生人面前露面？",ra0187="沙特阿拉伯",wa0187="孟加拉",
qt0188="我国道家学派创始人是谁？",ra0188="老子",wa0188="孟子",
qt0189="“天下兴亡，匹夫有责”是哪位思想家的名言？",ra0189="顾炎武",wa0189="黄宗羲 ",
qt0190="《古兰经》是哪个宗教的经典？",ra0190="伊斯兰教",wa0190="道教",
qt0191="“持剑，坐莲花宝座，骑狮子”的形象是哪位菩萨？",ra0191="文殊",wa0191="普贤",
qt0192="红娘由来是出自下列哪部古典名剧？",ra0192="《西厢记》",wa0192="《长生殿》",
qt0193="奔驰汽车原产于哪一个国家？",ra0193="德国",wa0193="英国",
qt0194="北京大学的第一位校长是？",ra0194="严复",wa0194="蔡元培",
qt0195="大汶口文化遗址在我国的什么地方？",ra0195="山东",wa0195="广西",
qt0196="被誉为“浑身都是音乐”的著名指挥家是谁？",ra0196="小泽征尔",wa0196="小泽玛利亚",
qt0197="世界第一大教堂是哪一座？？",ra0197="圣彼得大教堂",wa0197="圣玛利亚教堂",
qt0198="下列哪个不是美国宝洁公司的产品？",ra0198="纳爱斯牙膏",wa0198="佳洁士牙膏",
qt0199="“民为贵,社稷次之,君为轻”这句话出自哪里？",ra0199="《孟子》",wa0199="《庄子》",
qt0200="奥运会旗是:“五色环”旗,其中黄色环代表什么意思？",ra0200="亚洲",wa0200="欧洲 ",
qt0201="六弦琴是什么乐器的别称？",ra0201="吉他",wa0201="小提琴",
qt0202="《献血法》规定，献血者两次献血间隔时间不得少于多少个月？",ra0202="六个月",wa0202="八个月",
qt0203="具有止血功能的维生素是哪一种？",ra0203="维生素K",wa0203="维生素E",
qt0204="西洋占星术中将一年分成十二个星座，以下哪个不是土像星座？",ra0204="牡羊座",wa0204="魔羯座",
qt0205="一般钢琴是以一连串八度音程的区间所构成，请问同一音程中有几个黑阶？",ra0205="五个",wa0205="七个",
qt0206="下列著名作家哪位不是19世纪英国诗坛三大巨星之一？",ra0206="笛福",wa0206="济慈",
qt0207="世界哪一个国家的茶叶产量最多？",ra0207="印度",wa0207="中国",
qt0208="发烧时不宜喝什么饮料？",ra0208="浓茶",wa0208="果汁",
qt0209="我们通常所说的“北斗七星”，天文学上称之为什么星座？",ra0209="小熊星座",wa0209="狮子星座",
qt0210="下列科学家中哪位是犹太人？",ra0210="爱因斯坦",wa0210="拉瓦锡",
qt0211="《西游记》中的火焰山在哪里？",ra0211="中国吐鲁番",wa0211="巴基斯坦 ",
qt0212="按照宇宙大爆炸理论，宇宙的年龄估计有多少年？",ra0212="120亿年",wa0212="50亿年",
qt0213="以下历史事件中，与关羽无关的是哪一个？",ra0213="七擒七纵",wa0213="水淹七军",
qt0214="巴黎凯旋门是为纪念谁而建？",ra0214="拿破仑",wa0214="丘吉尔",
qt0215="下列哪个是真正的鱼？",ra0215="海马",wa0215="鲸鱼",
qt0216="足球共有多少块补丁组成？",ra0216="32块",wa0216="36块 ",
qt0217="马岛战争是哪两国之间的战争？",ra0217="英国-阿根廷",wa0217="美国-古巴",
qt0218="下列哪个不属于我国民间四大传说之一？",ra0218="嫦娥奔月",wa0218="牛郎织女",
qt0219="著名油画《开国大典》是誰的作品？",ra0219="董西文",wa0219="徐悲鸿",
qt0220="地跨两大洲，首都在西半球的是那个国家？",ra0220="美国",wa0220="俄罗斯",
qt0221="世界上最大的白鹤栖息地是在哪里？",ra0221="鄱阳湖",wa0221="洞庭湖",
qt0222="长江三峡位于最西面的一个峡谷是哪个？",ra0222="瞿塘峡",wa0222="三门峡",
qt0223="世界上人口最稠密的农业国家是哪个国家？",ra0223="孟加拉国",wa0223="荷兰",
qt0224="中东哪一城市是三个宗教的圣地？",ra0224="耶路撒冷",wa0224="大马土革",
qt0225="世界上最大的海湾是以下哪个海湾？",ra0225="几内亚湾",wa0225="墨西哥湾",
qt0226="日本国土中最大的岛是那个岛？",ra0226="本州",wa0226="九州",
qt0227="世界上全部位于北半球的大洲是以下哪两个洲？",ra0227="欧洲、北美洲",wa0227="亚洲、欧洲",
qt0228="海洋中等深线最密集的地方是什么位置？",ra0228="大陆坡",wa0228="大陆架",
qt0229="乞拉朋齐成为“雨极”的原因是什么？",ra0229="地形雨",wa0229="对流雨",
qt0230="“风车之国”的风车是什么作用？",ra0230="向堤外提水的",wa0230="吹风的",
qt0231="有“世界火炉”之称的城市是哪个城市？",ra0231="喀土穆",wa0231="华盛顿",
qt0232="目前巴以争端的焦点是什么？",ra0232="土地主权",wa0232="宗教信仰",
qt0233="中秋节那天月亮升起的时刻是什么时候？",ra0233="日落时",wa0233="子夜",
qt0234="号称“华南大动脉”的河流是指哪条河流？",ra0234="珠江",wa0234="长江",
qt0235="巴林在东半球的哪个地区？",ra0235="波斯湾",wa0235="红海",
qt0236="钓鱼岛从何时开始就明确为我国的领土？ ",ra0236="明朝",wa0236="唐朝",
qt0237="下列星座中，没有梅西叶天体的是哪个星座？",ra0237="乌鸦座",wa0237="后发座",
qt0238="在地球上观测，以下哪个天象最不可能发生？",ra0238="火星凌日",wa0238="金星凌日",
qt0239="巴西人最喜爱的一种舞蹈是以下哪种？",ra0239="桑巴",wa0239="踢踏",
qt0240="地跨两大洲，首都在西半球的是以下那个国家？",ra0240="美国",wa0240="俄罗斯",
qt0241="全球第一部国家级的《21世纪议程》诞生于哪个国家？",ra0241="中国",wa0241="美国",
qt0242="中东哪一城市是三个宗教的圣地？",ra0242="耶路撒冷",wa0242="大马士革",
qt0243="俄罗斯的斯大林格勒更名为什么？",ra0243="伏尔加格勒",wa0243="列宁格勒",
qt0244="位于西非尖端的最主要港口达喀尔是哪一个国家的首都？",ra0244="塞内加尔",wa0244="塞拉利昂",
qt0245="中国海军环球航行舰艇编队从太平洋进入印度洋，经过了下列哪一著名海峡？",ra0245="马六甲海峡 ",wa0245="土耳其海峡",
qt0246="下列国家中，都属于典型移民国家的是哪一个？",ra0246="日本",wa0246="加拿大",
qt0247="世界上人口自然增长率较低的地区是哪个洲？",ra0247="大洋洲",wa0247="非洲",
qt0248="太阳活动的主要标志什么？",ra0248="黑子、耀斑",wa0248="耀斑、太阳风",
qt0249="“飞流直下三千尺”是李白赞誉什么瀑布的诗句？",ra0249="庐山",wa0249="华山",
qt0250="峡谷景观多见于河流的什么地段？",ra0250="上游",wa0250="中游",
qt0251="我国最大的咸水湖位于哪里？",ra0251="青海",wa0251="西藏",
qt0252="下列不属于中国四大道教名山的是哪个？",ra0252="山东泰山",wa0252="江西龙虎山",
qt0253="悬空寺位于我国五岳名山的哪座山？",ra0253="恒山",wa0253="衡山",
qt0254="《春江花月夜》曲中的江是哪一条江？",ra0254="富春江",wa0254="新安江",
qt0255="“鬼都”位于我国哪个省市？",ra0255="重庆",wa0255="四川",
qt0256="“五粮液”是我国名酒之一，它产于何处？",ra0256="四川省宜宾市",wa0256="贵州省仁怀县",
qt0257="我国第二大淡水湖是哪个湖？",ra0257="鄱阳湖",wa0257="洞庭湖",
qt0258="中国历史上的第一座寺院是什么？",ra0258="白马寺",wa0258="塔尔寺",
qt0259="有“水晶之乡”和“水晶王国”之称的是哪里？",ra0259="东海",wa0259="苏州",
qt0260="从1980年起，每年举办国际风筝节的城市是哪个？",ra0260="山东潍坊",wa0260="江苏南通",
qt0261="“以山为陵”是哪个朝代的陵墓的形式？",ra0261="唐代",wa0261="秦汉",
qt0262="被誉为世界桥梁工程中的首创，世界上现存最大的敞肩桥是哪座？",ra0262="苏州宝带桥",wa0262="泉州洛阳桥",
qt0263="古代有悬桥之称，既是我国年代最早的铁索桥，也是世界最早的铁索桥的是什么桥？",ra0263="霁虹桥",wa0263="安济桥",
qt0264="我国长城修建史上的最后一次高潮是哪个朝代？",ra0264="明代",wa0264="宋代",
qt0265="为世界自然与文化双重遗产的我国的旅游资源是哪里？",ra0265="武夷山",wa0265="苏州园林",
qt0266="晏殊的《浣溪沙》中的”无可奈何花落去”的下句是哪句？",ra0266="似曾相识燕归来",wa0266="似曾相识雁归来",
qt0267="《七步诗》的作者是谁？",ra0267="曹植",wa0267="曹丕",
qt0268="杜甫的《春夜喜雨》中的“晓看红湿处”的下句是什么？",ra0268="花重锦官城",wa0268="花重锦州城",
qt0269="“春色满园关不住，一枝红杏出墙来。”出自叶绍翁的哪一首诗？。",ra0269="《游园不植》",wa0269="《春望》",
qt0270="“海内存知己，天涯若比邻。”是哪位诗人的诗句？",ra0270="王勃",wa0270="王维",
qt0271="“停车坐爱枫林晚，霜叶红于二月花”中的”坐”的意思是什么？",ra0271="因为",wa0271="坐下",
qt0272="杜牧的《江南春》中的”南朝四百八十寺”的下句是什么？",ra0272=" 多少楼台烟雨中",wa0272="多少楼台风雨中",
qt0273="“独在异乡为异客，每逢佳节倍思亲。”是哪位诗人的诗句？",ra0273="王维",wa0273="王勃",
qt0274="《天净沙 .秋思》的作者是元代的哪位诗人？",ra0274="马致远",wa0274="张养浩",
qt0275="“忽如一夜春风来，千树万树梨花开”写的是什么景色？",ra0275="春色",wa0275="雪景",
qt0276="“春蚕到死丝方尽，蜡炬成灰泪始干”出自哪位诗人的《无题》？",ra0276="李商隐",wa0276="李贺",
qt0277="“无边落木萧萧下，不尽长江天际流”出自杜甫的哪一首诗？",ra0277="《登高》",wa0277="《茅屋为秋风所破》",
qt0278="“三十功名尘与土，八千里路云和月”是哪位名人的诗句？",ra0278="岳飞",wa0278="辛弃疾",
qt0279="“莫愁前路无知己，天下谁人不识君”出自哪位诗人？",ra0279="高适",wa0279="王勃",
qt0280="“正是江南好风景，落花时节又逢君”中的”君”指的是谁？",ra0280="李龟年",wa0280="李贺",
qt0281="下列国家中，尚未加入欧元区的是哪个国家？",ra0281="英国",wa0281="比利时",
